symbol,code,name,exchange,board,list_date,total_mv,float_mv,total_mv_bil,float_mv_bil,f2,f3,f6,f8
600367.SH,600367,红星发展,SH,主板,2001-03-20,5758289626.0,5434907312.0,57.58289626,54.34907312,16.88,1.99,168689724.0,3.11
600368.SH,600368,五洲交通,SH,主板,2000-12-21,6824932358.0,6824932358.0,68.24932358,68.24932358,4.24,0.47,54453521.0,0.8
600369.SH,600369,西南证券,SH,主板,2001-01-09,31032659609.0,31032659609.0,310.32659609,310.32659609,4.67,0.43,133408465.0,0.43
600370.SH,600370,三房巷,SH,主板,2003-03-06,7949209079.0,7949209079.0,79.49209079,79.49209079,2.04,2.0,45074634.0,0.57
600372.SH,600372,中航机载,SH,主板,2001-07-06,59276483718.0,59276483718.0,592.76483718,592.76483718,12.25,-0.24,333898057.0,0.56
600373.SH,600373,中文传媒,SH,主板,2002-03-04,14016927470.0,13810426870.0,140.1692747,138.1042687,10.25,0.49,91232546.0,0.66
600375.SH,600375,汉马科技,SH,主板,2003-04-01,12343649526.0,8375180352.0,123.43649526,83.75180352,7.7,-5.06,710187621.0,8.35
600376.SH,600376,首开股份,SH,主板,2001-03-12,16483421896.0,16483421896.0,164.83421896,164.83421896,6.39,9.98,1498467126.0,9.4
600377.SH,600377,宁沪高速,SH,主板,2001-01-16,67959213775.0,51291448683.0,679.59213775,512.91448683,13.49,0.3,157354821.0,0.31
600378.SH,600378,昊华科技,SH,主板,2001-01-11,36803689159.0,30600289806.0,368.03689159,306.00289806,28.53,0.63,163198230.0,0.53
600379.SH,600379,宝光股份,SH,主板,2002-01-16,4044969159.0,4044969159.0,40.44969159,40.44969159,12.25,2.85,103300013.0,2.53
600380.SH,600380,健康元,SH,主板,2001-06-08,22063207835.0,22063207835.0,220.63207835,220.63207835,12.06,0.0,204633336.0,0.93
600381.SH,600381,*ST春天,SH,主板,2001-05-08,3058586461.0,3058586461.0,30.58586461,30.58586461,5.21,5.04,76248020.0,2.51
600382.SH,600382,广东明珠,SH,主板,2001-01-18,5221948829.0,5221948829.0,52.21948829,52.21948829,7.52,0.67,655144659.0,12.46
